City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name,Current Description
307,Lethem,GY,82.06,heavy intensity rain,3.3803,-59.7968,Savannah Inn,heavy intensity rain
313,Takoradi,GH,75.38,broken clouds,4.8845,-1.7554,Raybow International Hotel,broken clouds
314,Puerto Gaitan,CO,83.52,overcast clouds,4.3133,-72.0816,Brisas del Yucao,overcast clouds
317,Palauig,PH,81.21,overcast clouds,15.435,119.9045,Villa Raphael Resort,overcast clouds
319,Benito Juarez,MX,75.02,broken clouds,19.385,-99.165,Hotel Beverly,broken clouds
320,Bubaque,GW,80.58,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque",overcast clouds
323,Savannakhet,LA,75.52,moderate rain,16.566,104.751,โรงแรม ริเวอร์ ฟร้อนท์ (Riverfront Hotel),moderate rain
325,Jutai,BR,80.6,light rain,-5.1833,-68.9,,light rain
326,Carauari,BR,86.85,scattered clouds,-4.8828,-66.8958,Hotel Fellip,scattered clouds
328,San Cristobal,VE,82.58,scattered clouds,7.7669,-72.225,Pirineos,scattered clouds
329,Amapa,BR,76.42,light rain,1.0,-52.0,,light rain
331,Pajan,EC,83.55,broken clouds,-1.5667,-80.4167,Cecadel,broken clouds
337,Vaitape,PF,77.83,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui,overcast clouds
338,Dicabisagan,PH,78.8,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo,overcast clouds
340,Itaituba,BR,82.56,scattered clouds,-4.2761,-55.9836,Hotel Campos,scattered clouds
342,Wagar,SD,82.24,overcast clouds,16.1525,36.2032,,overcast clouds
344,Monrovia,LR,78.57,overcast clouds,6.3005,-10.7969,Sunset Inn,overcast clouds
345,Marsa Matruh,EG,77.2,clear sky,31.3525,27.2453,Beau Site,clear sky
350,Logansport,US,84.92,clear sky,40.7545,-86.3567,"Holiday Inn Express & Suites Logansport, an IHG Hotel",clear sky
351,Leiyang,CN,79.41,overcast clouds,26.4024,112.8591,Dongyang Hotel,overcast clouds
353,Sarakhs,IR,82.98,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز,clear sky
356,Veraval,IN,79.16,moderate rain,20.9,70.3667,Lords Inn Somnath,moderate rain
360,Tahta,EG,85.69,clear sky,26.7693,31.5021,فندق الزيات,clear sky
363,Tabas,IR,85.28,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد,clear sky
370,Ensley,US,89.19,few clouds,30.5188,-87.2728,Holiday Inn Express & Suites Pensacola W I-10,few clouds
372,Port Blair,IN,80.64,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair",light rain
375,Salalah,OM,77.83,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel",overcast clouds
376,Jalu,LY,79.16,clear sky,29.0331,21.5482,صاحبة الفخامة,clear sky
378,Itarema,BR,79.09,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant",few clouds
380,Avera,US,87.39,light rain,33.194,-82.5271,,light rain
382,Montrose,US,83.61,broken clouds,38.4166,-108.2673,,broken clouds
383,Pakxan,LA,76.06,overcast clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse,overcast clouds
385,Tiruchchendur,IN,80.02,broken clouds,8.4833,78.1167,"Hotel Udhayam International, Thiruchendur",broken clouds
387,Sao Francisco,BR,76.01,broken clouds,-15.9486,-44.8644,Pousada Peixe Vivo,broken clouds
389,Flin Flon,CA,78.64,few clouds,54.7682,-101.865,Victoria Inn Flin Flon,few clouds
390,Dingle,PH,75.34,broken clouds,10.9995,122.6711,SEGAYA PROPERTY,broken clouds
400,Maracaibo,VE,89.08,few clouds,10.6317,-71.6406,Motel Aladdin,few clouds
401,Puerto Leguizamo,CO,80.91,broken clouds,-0.1934,-74.7819,la casona de juancho,broken clouds
404,La Ronge,CA,77.25,broken clouds,55.1001,-105.2842,Northland Motor Hotel,broken clouds
405,Silver City,US,89.91,broken clouds,32.7701,-108.2803,Copper Manor Motel,broken clouds
408,Kampot,KH,80.65,overcast clouds,10.6167,104.1833,Two Moons Hotel,overcast clouds
416,Katsuura,JP,75.52,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki,broken clouds
417,Kamloops,CA,81.59,broken clouds,50.6665,-120.3192,Ramada by Wyndham Kamloops,broken clouds
418,Simbahan,PH,81.18,overcast clouds,6.3032,120.5836,,overcast clouds
419,Presidente Epitacio,BR,80.04,broken clouds,-21.7633,-52.1156,Hotel Itaverá,broken clouds
420,Nioro,GM,82.72,light rain,13.35,-15.75,,light rain
