City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Henties Bay,NA,2022-07-13 20:33:10,-22.116,14.2845,56.05,88,0,10.0
153,Mandalgovi,MN,2022-07-13 20:33:10,45.7625,106.2708,65.71,41,100,9.19
154,Kodiak,US,2022-07-13 20:33:11,57.79,-152.4072,58.51,77,100,8.05
155,Gushikawa,JP,2022-07-13 20:33:11,26.3544,127.8686,81.63,83,100,8.01
156,Maubin,MM,2022-07-13 20:33:11,16.7333,95.65,75.88,95,100,4.68
157,Jambi,ID,2022-07-13 20:29:24,-1.6,103.6167,73.65,98,79,2.28
158,Sept-Iles,CA,2022-07-13 20:30:12,50.2001,-66.3821,72.12,57,75,12.66
159,Roura,GF,2022-07-13 20:33:12,4.7263,-52.3274,84.11,74,75,5.75
160,Bengkulu,ID,2022-07-13 20:33:12,-3.8004,102.2655,76.48,90,100,3.15
161,Dikson,RU,2022-07-13 20:33:13,73.5069,80.5464,43.16,75,100,10.09
162,Malanje,AO,2022-07-13 20:33:13,-9.5402,16.341,66.72,28,0,3.65
163,Oistins,BB,2022-07-13 20:33:13,13.0667,-59.5333,86.09,62,20,19.57
164,Muzhi,RU,2022-07-13 20:33:14,65.3667,64.6667,63.7,90,77,5.48
165,Coolum Beach,AU,2022-07-13 20:33:15,-26.5333,153.1,52.11,69,0,13.87
166,Sakakah,SA,2022-07-13 20:33:15,29.9697,40.2064,96.37,19,0,15.48
167,Vaini,TO,2022-07-13 20:29:08,-21.2,-175.2,77.16,88,40,13.8
168,Deniliquin,AU,2022-07-13 20:33:16,-35.5333,144.9667,37.06,90,0,7.94
169,Vanimo,PG,2022-07-13 20:33:16,-2.6741,141.3028,76.39,89,35,1.16
170,Tura,IN,2022-07-13 20:33:17,25.5198,90.2201,75.04,98,89,1.77
171,Korcula,HR,2022-07-13 20:33:17,42.9622,17.1369,75.42,61,0,5.3
172,Teya,RU,2022-07-13 20:33:17,60.3778,92.6267,46.94,83,98,2.17
173,Cape Town,ZA,2022-07-13 20:30:38,-33.9258,18.4232,56.88,93,75,16.11
174,Oytal,KZ,2022-07-13 20:33:18,42.9057,73.2697,67.3,47,0,4.79
175,Guerrero Negro,MX,2022-07-13 20:33:18,27.9769,-114.0611,75.16,58,8,16.44
176,Fort Nelson,CA,2022-07-13 20:33:18,58.8053,-122.7002,62.19,48,75,3.44
177,Trelew,AR,2022-07-13 20:33:20,-43.249,-65.3051,45.61,34,33,6.17
178,Sao Felix Do Xingu,BR,2022-07-13 20:32:02,-6.6447,-51.995,86.0,39,77,0.76
179,Cabo San Lucas,MX,2022-07-13 20:32:59,22.8909,-109.9124,91.71,48,0,6.91
180,Bereda,ES,2022-07-13 20:33:21,43.2686,-7.5406,77.14,81,98,1.05
181,Loanda,AO,2022-07-13 20:31:22,-8.8368,13.2343,71.6,83,0,8.05
182,Geraldton,AU,2022-07-13 20:31:08,-28.7667,114.6,57.61,94,4,10.36
183,Codrington,AU,2022-07-13 20:33:21,-38.2667,141.9667,44.74,87,61,6.2
184,San Jeronimito,MX,2022-07-13 20:34:22,17.55,-101.3333,87.64,62,75,9.22
185,Batemans Bay,AU,2022-07-13 20:34:22,-35.7167,150.1833,52.11,64,92,11.12
186,Kagadi,UG,2022-07-13 20:34:22,0.9606,30.7967,68.86,58,90,3.85
187,Naze,JP,2022-07-13 20:34:23,28.3667,129.4833,76.12,88,98,9.01
188,New Norfolk,AU,2022-07-13 20:34:23,-42.7826,147.0587,38.71,87,67,2.84
189,Yarovoye,RU,2022-07-13 20:34:23,52.9273,78.58,58.1,89,100,4.9
190,Dakoro,NE,2022-07-13 20:34:24,14.5106,6.765,88.95,47,33,22.57
191,Armacao De Pera,PT,2022-07-13 20:34:24,37.1026,-8.357,84.11,72,17,3.74
192,Mpanda,TZ,2022-07-13 20:34:24,-6.3655,31.0409,66.4,49,33,1.1
193,Cayenne,GF,2022-07-13 20:30:05,4.9333,-52.3333,84.24,74,75,5.75
194,Cocoa Beach,US,2022-07-13 20:34:25,28.32,-80.6076,95.09,66,15,16.28
195,Grand Gaube,MU,2022-07-13 20:34:25,-20.0064,57.6608,67.37,79,89,10.0
196,Saldanha,ZA,2022-07-13 20:31:53,-33.0117,17.9442,55.45,88,100,10.85
197,Kahului,US,2022-07-13 20:31:13,20.8947,-156.47,82.42,79,40,17.27
198,Alyangula,AU,2022-07-13 20:34:26,-13.8483,136.4192,67.37,57,66,17.0
199,Ariquemes,BR,2022-07-13 20:34:26,-9.9133,-63.0408,91.89,35,64,0.89
